Sl.,State/Zone,N_2015_16,P_2015_16,K_2015_16,Total_2015_16,N_2016_17,P_2016_17,K_2016_17,Total_2016_17,N_2017_18,P_2017_18,K_2017_18,Total_2017_18,N_2018_19,P_2018_19,K_2018_19,Total_2018_19,N_2019_20,P_2019_20,K_2019_20,Total_2019_20
16,D&N Haveli,24.8,13.5,,38.3,30,20.9,,50.9,12.8,9,,21.8,6.5,3.5,,10,,,,
WZ,WESTZONE,58.2,27.1,7.7,92.9,59.3,25.7,8.4,93.4,57.9,26.9,9.5,94.3,59,27.6,9.3,95.9,66.5,30.1,8.8,105.4
17,Haryana,158.7,44.5,3,206.2,154.3,44.6,6.6,205.5,161.2,43.1,7.1,211.3,168.2,46.1,7.4,221.8,160.2,48.4,6.4,215
18,Punjab,184.2,53.3,9.9,247.4,177.8,47.1,6.6,231.5,168.2,38,6.5,212.7,178.5,42.4,5.4,226.2,173.2,40.8,5.1,219.2
19,Uttar Pradesh,112.1,42,7.7,161.8,110.5,43.4,9.1,163,123.1,45.5,9.1,177.7,129.2,39,7,175.2,139.7,45,8.3,192.9
20,Uttarakhand,155.8,21.4,6.1,183.4,149.2,26.6,8.5,184.2,138.7,22.7,7.3,168.8,125.3,25.5,9.1,159.9,116.3,28,8.4,152.8
21,Himachal Pradesh,39.8,10.7,10.7,61.3,37.6,11.6,12.3,61.5,39.2,10.5,12,61.7,37.8,11.7,10.6,60.1,39.8,12.8,11.9,64.4
22,J&K,69.8,23.8,10.2,103.8,60.8,25.1,13.2,99,70.2,26.4,19.6,116.2,63,24.9,12.9,100.9,68.3,24.1,21.3,113.7
23,Delhi,146.9,12.3,,159.1,216.3,9.1,,225.4,167.7,44.3,4.6,216.6,169,20.9,,189.8,216.4,35.1,6.4,257.8
24,Chandigarh,,,,,,,,,,,,,,,,,,,,
NZ,NORTHZONE,130.4,42.7,7.5,180.6,127.3,42.6,8.4,178.3,134.1,42,8.6,184.7,139.8,39.3,7.1,186.2,144.1,43.1,7.9,195.1
25,Bihar,162.9,44.4,13.8,221.1,37.6,9.2,9.8,56.6,147,51,20.9,218.9,157.8,52.6,19.7,230.1,163.4,53.6,21.4,238.3
26,Jharkhand,79,26.4,3.5,108.9,73.7,20.5,1.6,95.8,51.1,39,8.1,98.1,62.4,23.6,3,89,67,23.2,2.5,92.8
27,Odisha,63.2,25.8,11.4,100.5,58.5,25.3,11.8,95.6,67.7,29.2,14.9,111.8,77.7,33.8,16.6,128.1,76.7,34.1,15.7,126.6
28,West Bengal,86.5,46.6,33.6,166.7,80.4,42.5,32,155,75.6,44.1,37.2,157,77.5,43,33.8,154.4,77.7,44,35,156.6
29,Assam,41.4,8.2,9.8,59.4,37.6,9.2,9.8,56.6,38.6,12.3,11.1,62,47.8,11.5,12.4,71.7,45,11,10.1,66.2
30,Tripura,19.8,13.5,12.8,46.1,29.3,14.8,9.9,54.1,18.9,6.6,6.8,32.3,16.9,7.8,5.8,30.8,20.2,15.9,7.5,43.6
31,Manipur,26.9,7.2,4.5,38.6,22.5,6.2,4.2,32.8,29.5,12.6,11.9,53.9,29.2,13.8,12.3,55.3,29.6,14,12.6,56.2
32,Meghalaya,,,,,,,,,,,,,,,,,,,,
33,Nagaland,1.6,1,1,5,2.5,1.7,1.1,5.3,2.5,1.7,1.1,5.3,2.3,1.6,1,4.9,,,,
34,Arunachal Pradesh,,,,,1.6,0.4,0.5,2.5,4.3,1,2.9,8.3,,,,,,,,
35,Mizoram,11.1,2,2.9,16,15.2,2.8,2.1,20.1,32.4,,,32.4,24.4,7.2,6.3,37.9,21.4,7.4,5.9,34.7
36,Sikkim,,,,,,,,,,,,,,,,,,,,
E,EASTZONE,89.6,33.2,17.9,140.7,79.8,30.6,18.6,129,81,36,21.9,138.9,87.2,35.6,20.6,143.4,88.4,36.2,20.9,145.5
ALL,INDIA,386.8,151.9,57.8,596.3,366.2,145.7,59.4,571.3,374.5,149.7,66.2,590.4,387.8,149.4,63.7,600.9,410.3,160.6,63.2,634.1
